nlopt_optimizer,fitness_fn,distance_type,noise_type,noise_value,s_fu,s_fv,s_cx,s_cy,s_tx,s_ty,s_tz,s_rx,s_ry,s_rz,s_d0,s_d1,s_d2,s_d3,s_d4,t_fu,t_fv,t_cx,t_cy,t_tx,t_ty,t_tz,t_rx,t_ry,t_rz,t_d0,t_d1,t_d2,t_d3,t_d4,r_fu,r_fv,r_cx,r_cy,r_tx,r_ty,r_tz,r_rx,r_ry,r_rz,r_d0,r_d1,r_d2,r_d3,r_d4,best_fitness,duration_in_s,mean_fitting_reproj_error_col,mean_fitting_reproj_error_row,mean_fitting_reproj_error,mean_dense_reproj_error_col,mean_dense_reproj_error_row,mean_dense_reproj_error,mean_y0_reproj_error_col,mean_y0_reproj_error_row,mean_y0_reproj_error
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,410.0,300.0,0.0,2.35,8.4,0.2799999999999999,-0.01,0.0,0.0,0.1,-0.025,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.1049278209293,694.5318618544538,404.6873079781918,300.0016758757855,-0.0172944174494361,2.36186896631678,8.195431590519952,0.2883286279567927,-0.0205836737289307,0.0056424172658336,-0.0345536444462448,0.1930962688290962,-0.0104627022901237,0.0064659538883037,-1.3129333564018562,13325.9775390625,2.639442669999994,2.3185677120276864,1.0050364972937884,2.6889831012200447,2.128902028541624,1.0080958398308593,2.520735404808804,2.0290051162607545,1.1222722872929491,2.444823847789348
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,390.0,300.0,0.0,2.35,8.3,0.29,0.0,0.01,0.1,-0.1,0.0,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.1232698508195,699.4788556976595,390.92234393102206,299.95306575215886,0.1668497411304674,2.3490118206580703,8.300777334521445,0.2898569069463718,0.0005750853669494,0.0091264776837516,0.0114455639448758,-0.292284697374042,0.000158915614973,-0.0068690636988602,-1.22513185609548,13498.435546875,2.608729270000026,2.063236642892977,1.5286969687488878,2.663002600887739,2.620402214494368,1.2209883439754312,3.106381127215931,1.6875287281867992,0.856070267119285,1.9559456236876465
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,710.0,410.0,300.0,0.0,2.35,8.5,0.3,0.0,0.0,0.0,0.0,-0.025,0.01,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.7102849667319,704.2003428315433,405.11000862128,300.0673573517374,0.0110270339682622,2.344424599985866,8.287525908632501,0.2879356601801975,-0.0009752284281781,0.0026552350949538,-0.1215104686198108,0.5745950342548931,-0.0067820563327274,-0.0330268878433206,-2.498547511036308,12657.62109375,1.960686203000023,3.293703054913267,1.503304822143562,3.8328098406858246,3.697075624509867,1.4167130439289974,4.281592541404997,3.706747048772344,0.9636757719857096,3.992498017895037
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,690.0,400.0,310.0,0.0,2.35,8.4,0.2799999999999999,0.0,0.0,-0.1,-0.1,0.025,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.8525404350233,912.7446313677788,398.6164441834546,309.35670994168083,0.5148521905570855,2.3501139317292745,8.39781221864574,0.2832772188071902,-0.0123837352880457,0.0005178748365981,-0.0729843766858244,-0.1502528604365063,0.0251526767900651,0.0026743873774698,0.3828652479232312,4641.177734375,1.6023417779999818,23.79555943197727,32.83569897099099,42.71512763969408,24.339782860760767,21.68841941424474,34.75249575417211,22.88087463097272,32.360148388133766,40.47574141458519
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,710.0,400.0,290.0,0.0,2.25,8.4,0.29,-0.01,-0.01,0.0,0.1,0.0,-0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.3260304321599,764.155450297146,398.5960703281498,289.8632443578206,0.0365040186090258,2.2633242523925445,8.644532453857952,0.2490802246230743,0.0039893079247992,-0.0070231775392218,-0.1451241575967077,0.2116821257649922,0.0311109831288767,-0.0106327233477908,1.9299442017835244,13137.728515625,2.8680204219999723,1.8563424926942595,2.948893594931013,3.6944377313428927,1.869172585204833,7.533720232343048,7.951706253061296,1.153087704421055,1.260223046990925,1.873873793880236
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,390.0,310.0,0.0,2.35,8.5,0.29,0.0,-0.01,0.1,-0.1,0.0,0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.4562081263639,699.8461545011094,400.5428033941099,310.6862934153594,0.0028866394417205,2.362184518261416,8.638161944564622,0.2992739701426741,-0.0003356158645641,-0.0088809807981723,0.0414528321553147,-0.2838729743334244,-0.2342421154216867,0.0193335695764325,-2.8606571746601803,7139.4541015625,2.234080941000002,13.61462717237278,15.240969778706706,21.537929734851943,5.335577856276967,10.489528126718058,12.52909216671321,8.566662418297042,9.96314453992465,14.025830799561865
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,690.0,400.0,290.0,-0.1,2.35,8.3,0.29,0.0,0.0,0.1,0.0,0.025,0.0,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.1010710443376,678.9314450467963,401.1472552990826,290.5181138207356,-0.0898290451335497,2.4035541887315537,8.169344500005645,0.2703642741580643,0.0086688442877019,-0.0055077484806248,0.5465098653177849,-2.525884371755391,0.022471939089705,0.0119712119712481,0.2516462698214801,13108.43359375,2.144506289999981,2.2608101247211634,1.54636427861244,2.9144213197605624,2.659602585745598,1.8198227759549408,3.4140904846440896,2.0754543648385955,1.218777015984386,2.578775309645005
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,410.0,310.0,-0.1,2.45,8.4,0.29,0.0,0.01,0.0,0.1,0.0,-0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.9997108381785,43.54799147644128,408.7710518351391,314.4387830058164,-0.1454506778431886,2.7819197653649246,8.704110527658575,0.259243290620897,0.0066896659543559,0.024428755915896,-0.6022878979027377,0.1653180850722682,-0.0001126679360819,-0.0143162497463029,-0.1170223137201353,9130.5693359375,2.000843361999955,302.47692884105794,83.98923808190388,324.3778295190993,211.14157882634265,97.58353673893733,247.1752682625528,200.02959809495576,56.386127148778925,215.3644327302198
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,700.0,410.0,310.0,0.0,2.25,8.4,0.29,-0.01,0.0,0.0,0.0,-0.025,-0.01,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.8159005521231,690.275725560286,408.7390446002651,308.9791588684079,0.0004949973019075,2.251452255671167,8.405238998862746,0.3030995745431343,-0.0198911788121363,0.0081756765405647,0.0205361195190917,0.3775447883775317,-0.0084184562191273,-0.0210213211878614,0.1610710385682753,13474.0224609375,2.5357708159999675,2.1087494490639616,1.449975146863958,2.870825422809723,3.7059401196230257,1.4147978450024945,4.302357275876315,2.8877055261655684,0.8405439114026239,3.171451392869565
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,700.0,700.0,400.0,300.0,0.0,2.35,8.3,0.2799999999999999,0.0,0.01,-0.1,-0.1,0.025,0.0,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.2002202917845,705.5368291504851,398.2255197331933,294.0120559905038,0.0235064568664301,2.383617308881484,8.28588595843087,0.2799947912714098,-1.8603303478287908e-05,0.0053780768800349,-0.0929325332824029,-0.1149247249333304,0.0130241933759558,-0.0001649817189026,0.4420393468577206,13682.9638671875,3.0062613049999527,0.996997735782424,1.0636733437475114,1.5673386175364288,0.9572955912976344,1.5256546982352577,1.955815333428234,0.9860171908822842,0.8442260693250025,1.3692588492434687
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,710.0,700.0,390.0,290.0,0.0,2.45,8.4,0.29,0.0,0.0,0.1,0.1,0.0,0.0,0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.9246967175707,702.2216117065313,390.5550749498,290.089301305796,0.1880867296284996,2.4517622784485846,8.533940942125806,0.2737222872406669,0.0048272395107072,8.015788282236599e-05,0.1369471305495025,0.0054389176941075,-0.0006291226532055,-0.0196239563816197,0.5667843329933584,13559.7646484375,2.4857486560000552,1.9576147910924404,1.0647647054499807,2.3908658630213875,2.141649509797991,0.7934623444411716,2.4107675213617648,1.7260435594836263,0.7495747961511161,1.9961080967888083
L_SBPLX,DistanceMapWithPunishment,Near,straight_grid,128.0,690.0,690.0,410.0,290.0,0.0,2.35,8.4,0.29,0.0,0.0,-0.1,0.0,0.0,0.01,-0.5,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.2981660439254,705.0586446235861,408.7163868979768,289.9827937338801,0.2833193130752199,2.4968125919725246,8.353520967045595,0.2833847669700491,6.301913336361568e-05,-0.0045455812773371,-0.1703266503659168,-0.0199218560502704,-3.3468633514661065e-05,0.0126486334649258,-0.2912411685109816,9475.5966796875,2.27866554700006,30.274791330778097,1.4896527271040492,30.6367856512686,28.96079413587027,1.4352516388992056,29.19526537279969,28.403684313998653,1.015808040646864,28.468651964004103
L_SBPLX,DistanceMap,Near,no_noise,0.0,710.0,700.0,400.0,290.0,-0.1,2.35,8.4,0.29,-0.01,0.01,0.0,0.1,-0.025,0.0,0.0,700.0,700.0,400.0,300.0,0.0,2.35,8.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0184890587287,706.3342142868415,413.1388280826658,289.9808808052909,-0.1565244657137011,2.5832004008319687,8.399441466838162,0.2898188103190144,-0.0102974236487914,0.0104018274044762,-0.2019819321285987,0.0551277758785973,-0.0216631985505598,0.0003599831696231,0.6901661354708362,14119.13671875,3.260073669000008,4.605704965377367,2.5546076859750984,5.814176720758872,4.81277158935249,3.3195055435235696,6.375781993604412,3.5592070460344445,1.8520029668758515,4.345397587948526
